canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
RESCAND-c05c21bbc3ff4161ccb50461,EXTLOC-89d10b9fe486dd8a906c5fde,,
RESCAND-e83ef56c800f9ab696983a10,EXTLOC-0866c81535aa5b126a079b9b,,
RESCAND-d59c0172ad672496549990ef,EXTLOC-8e240ae6581d9bb5b998c56e,,
RESCAND-427c680ca14b3e5bf054a2a2,EXTLOC-56eda0de609a6a8d5d5e663e,,
RESCAND-ac74bdba0dc70fd100e3f804,EXTLOC-5ddecca649e054d3474fe6ec,,
EXTCAND-e158fbb58ae0cc2d8ea81d8a,EXTLOC-3055d61ee344c2a2b63ad314,,
RESCAND-ed48c10bbe491d292311bb2a,EXTLOC-430bd96d5998246c5926994f,,
EXTCAND-a5596b67c229059600b82deb,EXTLOC-6db5a804ba980e260b4a8933,,
EXTCAND-d21a5cecfd2643f027b7e922,EXTLOC-204c32c9e2c840e9e84a4039,,
RESCAND-061cdf2b9409e122cb6d6ca6,EXTLOC-4b02056debef49fca2e94054,,
EXTCAND-d86d15fcaff82d2d88c8b911,EXTLOC-f833bb85e512676aaccdf63d,,
EXTCAND-96b3e2d340db600d364c7f09,EXTLOC-e0247b4e93bdae6f58252e37,,
RESCAND-09f2650e5b1dd3dfbf02af31,EXTLOC-1f99ac058450edb294729885,,
EXTCAND-bbe25fc65f6ed7cf9a2af3ed,EXTLOC-e8815a0f6be0f09fa1a93977,,
EXTCAND-b93dbe006e95bc2c5be49602,EXTLOC-277b4bf2b07077280b903e1b,,
EXTCAND-6bfa2804af0b8e05e8f226e0,EXTLOC-a08d719ab1cb0c917aee34b9,,
EXTCAND-370b34e11ce5594e6c862f23,EXTLOC-2deca2b161d85e00502b5a59,,
EXTCAND-c066a5844e6ebedacbccd913,EXTLOC-90d162adc576861c28ce34ab,,
EXTCAND-fa776e238ba15bba7a9774fa,EXTLOC-2f023a091516a0cbb64ceec1,,
EXTCAND-1d61ec535c8ad1fb75c2f3a1,EXTLOC-8b8e884f0e4ba640b309aade,,
RESCAND-ad82f4cc0e20d611e683848c,EXTLOC-0b8d7d91324b617e4ecf2e0f,,
RESCAND-5e0a492d214a73e345c8b968,EXTLOC-42eaff56f525aed2bd571509,,
RESCAND-7132c1b296655e552bcd4c4c,EXTLOC-c70f852cb65a01ae7726eb25,,
EXTCAND-fca6a364d7b4a0124da22f5e,EXTLOC-10e273ed74c923a6a760139e,,
EXTCAND-e405ccad7afe6547f02d1669,EXTLOC-483b846660dd0ad444199c7c,,
EXTCAND-c84a3bdf142c1146a184f302,EXTLOC-b63e219bf8618fd8d0801082,,
EXTCAND-7fb235bade0fc75a751726d7,EXTLOC-f2fa4f4a1368135945a65c1e,,
EXTCAND-2f411f42c91c172646bd4bf4,EXTLOC-118d88f2ba70b03a116814bc,,
RESCAND-297ce42a70efde722b257dd4,EXTLOC-c7061c914ca249fd7e24443c,,
RESCAND-c40aea28832c83ca7996c5e9,EXTLOC-44e51033db9471e60a8c5797,,
RESCAND-a7e1404ccc4b9ccd68da8ed1,EXTLOC-e072ef7697ea97636a7b79b6,,
RESCAND-96935f4fb56ee163b5743750,EXTLOC-5ab336ec0e11959c3860c39f,,
RESCAND-18eeee9e11c7d5a18124ecb2,EXTLOC-194bd499312f780d6b763acf,,
EXTCAND-1a2226c54177b9aa7934a23b,EXTLOC-c61b912d54a2e9c78858dfa6,,
EXTCAND-43ff20d05f81d0e9253a5f4c,EXTLOC-96e4ee30e4a9fa0091853df1,,
RESCAND-0fd5b3635c4137ea34c1a1e5,EXTLOC-2b05141def62f1a57f933cfd,,
RESCAND-2f0e0c8200285013bf155714,EXTLOC-4c7a420b235bcf7cbb3d6cfa,,
RESCAND-150186e324d9e2dfd01f6dbd,EXTLOC-fa80634bd1e6a4911381978a,,
EXTCAND-d23ef88739cc05f8473c0fbc,EXTLOC-9c6a853a4179638df9f26cc5,,
RESCAND-bcce60588fa1935331ce9386,EXTLOC-c90ac4f95992e8d795e0ed70,,
RESCAND-a9dea5546de4ac1ec392cbfe,EXTLOC-f6bbe1cd15e2d43b14e3a979,,
